Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
48575,bdbf,"83 HAR PUB SAF","D","Harlan Twp Public Safety","Multi-Talk","Warren County (83) Local Government"
48576,bdc0,"83 HARLAN PW","D","Harlan Township Maintenance Department","Public Works","Warren County (83) Public Works"
48577,bdc1,"83 81 ALERT","D","Harlan Township Fire Alert","Fire Dispatch","Warren County (83) Fire/EMS/Hospital"
48580,bdc4,"83 HARV PD 1","D","Harveysburg Police 1","Law Tac","Warren County (83) Law"
48581,bdc5,"83 HARV PD 2","D","Harveysburg Police 2","Law Tac","Warren County (83) Law"
48582,bdc6,"83 HARV PD 3","D","Harveysburg Police 3","Law Tac","Warren County (83) Law"
48583,bdc7,"83 HARV RD","D","Harveysburg Road Department","Public Works","Warren County (83) Public Works"
48586,bdca,"83 15 FD JEMS","D","Joint EMS (Franklin Township/Carlisle)","EMS Dispatch","Warren County (83) Fire/EMS/Hospital"
48587,bdcb,"15 FD JEMS CMD","D","JEMS Command","EMS-Tac","Warren County (83) Fire/EMS/Hospital"
48588,bdcc,"83 15 FD ALERT","D","JEMS Fire Alert","EMS Dispatch","Warren County (83) Fire/EMS/Hospital"
48591,bdcf,"83 JUV PROB","DE","Juvenile Probation","Law Talk","Warren County (83) Law"
48592,bdd0,"83 41 FD CMD","D","Lebanon Fire Command","Fire-Tac","Warren County (83) Fire/EMS/Hospital"
48593,bdd1,"83 LEB FIRE","D","Lebanon Fire Primary","Fire Dispatch","Warren County (83) Fire/EMS/Hospital"
48594,bdd2,"83 LEB PD 2","D","Lebanon Police 2","Law Tac","Warren County (83) Law"
48595,bdd3,"83 LEB POLICE","D","Lebanon Police Primary Dispatch","Law Dispatch","Warren County (83) Law"
48596,bdd4,"83 LEB SAFETY","D","Lebanon Public Safety","Law Tac","Warren County (83) Law"
48597,bdd5,"83 LEB SCHOOLS","D","Lebanon City Schools","Schools","Warren County (83) Local Government"
48598,bdd6,"83 41 ALERT","D","Lebanon Fire Alert","Fire Dispatch","Warren County (83) Fire/EMS/Hospital"
48602,bdda,"83 MAIN PD 1","D","Mainville Police 1","Law Tac","Warren County (83) Law"
48603,bddb,"83 MAIN PD 2","D","Mainville Police 2","Law Tac","Warren County (83) Law"
48604,bddc,"83 MAIN RD","D","Mainville Road Department","Public Works","Warren County (83) Public Works"
48608,bde0,"83 51 FD GND","D","Mason Fire Ground","Fire-Tac","Warren County (83) Fire/EMS/Hospital"
48609,bde1,"83 51 FD CMD","D","Mason Fire Command","Fire-Tac","Warren County (83) Fire/EMS/Hospital"
48610,bde2,"83 51 FD OPS","D","Mason Fire Operations","Fire-Tac","Warren County (83) Fire/EMS/Hospital"
48611,bde3,"MASON EVENTS","D","Mason Special Events","Multi-Talk","Warren County (83) Local Government"
48612,bde4,"MASON WORKS","D","Mason Works Department","Public Works","Warren County (83) Public Works"
48613,bde5,"MASON COURT","D","Mason Court Operations","Law Talk","Warren County (83) Law"
48614,bde6,"83 MASON PD 1","D","Mason Police 1","Law Tac","Warren County (83) Law"
48615,bde7,"83 MASON PD 2","D","Mason Police 2","Law Tac","Warren County (83) Law"
48616,bde8,"83 MASON SAFETY","D","Mason Public Safety","Law Talk","Warren County (83) Law"
48617,bde9,"83 MASON PD 3","D","Mason Police 3","Law Tac","Warren County (83) Law"
48618,bdea,"83 51 ALERT","D","Mason Fire Alert","Fire Dispatch","Warren County (83) Fire/EMS/Hospital"
48620,bdec,"83 28 FD GND 1","D","Massie Township Fire Ground 1","Fire-Tac","Warren County (83) Fire/EMS/Hospital"
48621,bded,"83 28 FD GND 2","D","Massie Township Fire Ground 2","Fire-Tac","Warren County (83) Fire/EMS/Hospital"
48622,bdee,"83 28 ALERT","D","Massie Township Fire Alert","Fire Dispatch","Warren County (83) Fire/EMS/Hospital"
48623,bdef,"83 MASS PS","D","Massie Township Public Safety","Multi-Talk","Warren County (83) Local Government"
48625,bdf1,"83 MASS ROADS","D","Massie Twp Road Department","Public Works","Warren County (83) Public Works"
48626,bdf2,"83 71 FD GND","D","Morrow Fire Ground","Fire-Tac","Warren County (83) Fire/EMS/Hospital"
48627,bdf3,"83 MOR PD 1","D","Morrow Police 1","Law Tac","Warren County (83) Law"
48628,bdf4,"83 MOR PD 2","D","Morrow Police 2","Law Tac","Warren County (83) Law"
48629,bdf5,"83 MOR PUB SAF","D","Morrow Public Safety","Multi-Talk","Warren County (83) Local Government"
48630,bdf6,"83 MOR WORKS","D","Morrow Public Works","Public Works","Warren County (83) Public Works"
48631,bdf7,"83 S-M ROAD","D","Salem Twp/Morrow Twp Road Department","Public Works","Warren County (83) Public Works"
48632,bdf8,"83 71 ALERT","D","Morrow Fire Alert","Fire Dispatch","Warren County (83) Fire/EMS/Hospital"
48635,bdfb,"83 S LEB SAFETY","D","South Lebanon Public Safety","Multi-Talk","Warren County (83) Local Government"
48636,bdfc,"83 SLB ROAD","D","South Lebanon Road Department","Public Works","Warren County (83) Public Works"
48639,bdff,"83 BORO PD 1","D","Springboro Police 1","Law Tac","Warren County (83) Law"
48640,be00,"83 BORO PD 2","D","Springboro Police 2","Law Tac","Warren County (83) Law"
48641,be01,"83 BORO WORKS 1","D","Springboro Public Works 1","Public Works","Warren County (83) Public Works"
48642,be02,"83 BORO WORKS 2","D","Springboro Public Works 2","Public Works","Warren County (83) Public Works"
48646,be06,"ODNR PD","D","Caesars Creek Rangers (ODNR Enforcement)","Law Tac","Warren County (83) Law"
48650,be0a,"83 TURTLE RD 1","D","Turtlecreek Twp Road and Bridge 1","Public Works","Warren County (83) Public Works"
48651,be0b,"83 TURTLE RD 2","D","Turtlecreek Twp Road and Bridge Private","Public Works","Warren County (83) Public Works"
48652,be0c,"83 31 FD GND","D","Turtlecreek Twp Fire Ground","Fire-Tac","Warren County (83) Fire/EMS/Hospital"
48653,be0d,"83 31 TRAINING","D","Turtlecreek Twp Fire Training","Fire-Tac","Warren County (83) Fire/EMS/Hospital"
48654,be0e,"83 31 ALERT","D","Turtlecreek Twp. Fire Alert","Fire Dispatch","Warren County (83) Fire/EMS/Hospital"
48657,be11,"83 46 FD OPS","D","Union Twp Fire Operations","Fire-Tac","Warren County (83) Fire/EMS/Hospital"
48658,be12,"83 46 FD GND","D","Union Twp Fire Ground","Fire-Tac","Warren County (83) Fire/EMS/Hospital"
48659,be13,"83 UTP ROAD","D","Union Towship Road Departmentn","Public Works","Warren County (83) Public Works"
48660,be14,"83 46 ALERT","D","Union Twp. Fire Alert","Fire Dispatch","Warren County (83) Fire/EMS/Hospital"
48662,be16,"PROSECUTORS","D","Prosecutors Operations","Law Tac","Warren County (83) Law"
48665,be19,"83 TELECOM","D","Telecom","Multi-Talk","Warren County (83) Local Government"
48666,be1a,"83 TC OPS","DE","Telecom Ops","Multi-Talk","Warren County (83) Local Government"
48667,be1b,"83 TC INCIDENT","DE","Telecom Incident","Multi-Talk","Warren County (83) Local Government"
48668,be1c,"83 TELECOM TAC 1","DE","Telecom Tac 1","Multi-Talk","Warren County (83) Local Government"
48669,be1d,"83 TELECOM TAC 2","DE","Telecom Tac 2","Multi-Talk","Warren County (83) Local Government"
48670,be1e,"83 COMMS","D","County Communications ","Emergency Ops","Warren County (83) Fire/EMS/Hospital"
48671,be1f,"83 FD HAILING","D","County Fire Hailing","Fire-Tac","Warren County (83) Fire/EMS/Hospital"
48672,be20,"83 MAYDAY1","D","County Fire MAYDAY 1","Fire-Tac","Warren County (83) Fire/EMS/Hospital"
48673,be21,"83 MAYDAY2","D","County Fire MAYDAY 2","Fire-Tac","Warren County (83) Fire/EMS/Hospital"
48674,be22,"83 FIRE PRIMARY","D","County Fire Primary","Fire Dispatch","Warren County (83) Fire/EMS/Hospital"
48675,be23,"83 FD ALERT","D","County Fire Alert","Fire Dispatch","Warren County (83) Fire/EMS/Hospital"
48676,be24,"83 FD SECURE","DE","County Fire Secure Data","Fire-Tac","Warren County (83) Fire/EMS/Hospital"
48677,be25,"83 SCHOOLS","D","Schools Emergency","Emergency Ops","Warren County (83) Common"
48678,be26,"83 HELP","D","System Helpdesk","Multi-Talk","Warren County (83) Local Government"
48679,be27,"83 INTER-PSAP","D","Inter-PSAP","Multi-Tac","Warren County (83) Law"
48680,be28,"83 DTF 2","DE","Drug Task Force 2","Law Tac","Warren County (83) Law"
48681,be29,"83 DTF 1","DE","Drug Task Force 1","Law Tac","Warren County (83) Law"
48682,be2a,"83 PD HAILING","D","Police Hailing","Law Talk","Warren County (83) Law"
48683,be2b,"83 PD INQUIRY","DE","Police Inquiry","Law Tac","Warren County (83) Law"
48684,be2c,"83 PD PRIM 1","D","Police Primary 1 (North)","Law Dispatch","Warren County (83) Law"
48685,be2d,"83 PD PRIM 2","D","Police Primary 2 (South)","Law Dispatch","Warren County (83) Law"
48686,be2e,"83 SWAT","DE","83 Special Weapons and Tactics Operations","Law Tac","Warren County (83) Law"
48687,be2f,"83 LAW 1","DE","Law Tactical 1","Law Tac","Warren County (83) Law"
48688,be30,"83 LAW 2","DE","Law Tactical 2","Law Tac","Warren County (83) Law"
48689,be31,"83 LAW 3","DE","Law Tactical 3","Law Tac","Warren County (83) Law"
48690,be32,"83 PRIVATE","DE","County Private","Interop","Warren County (83) Common"
48691,be33,"83 SUPER","D","County Supervisors","Interop","Warren County (83) Common"
48692,be34,"83 NIMS","D","County National Incident Management System ops","Interop","Warren County (83) Common"
48693,be35,"83 TAC 2","D","Countywide Tac 2","Interop","Warren County (83) Common"
48694,be36,"83 TAC 3","D","Countywide Tac 3","Interop","Warren County (83) Common"
48695,be37,"83 TAC 4","D","Countywide Tac 4","Interop","Warren County (83) Common"
48696,be38,"83 TAC 5","D","Countywide Tac 5","Interop","Warren County (83) Common"
48697,be39,"83 TAC 6","D","Countywide Tac 6","Interop","Warren County (83) Common"
48698,be3a,"83 TAC 7","D","Countywide Tac 7","Interop","Warren County (83) Common"
48699,be3b,"83 TAC 8","D","Countywide Tac 8","Interop","Warren County (83) Common"
48700,be3c,"83 TAC 9","D","Countywide Tac 9","Interop","Warren County (83) Common"
48701,be3d,"83 TAC 10","D","Countywide Tac 10","Interop","Warren County (83) Common"
48702,be3e,"83 TAC 11","D","Countywide Tac 11","Interop","Warren County (83) Common"
48703,be3f,"83 TAC 12","D","Countywide Tac 12","Interop","Warren County (83) Common"
48704,be40,"83 TAC 13","D","Countywide Tac 13","Interop","Warren County (83) Common"
48705,be41,"83 TAC 14","D","Countywide Tac 14","Interop","Warren County (83) Common"
48706,be42,"83 TAC 15","D","Countywide Tac 15","Interop","Warren County (83) Common"
48707,be43,"83 TAC 16","D","Countywide Tac 16","Interop","Warren County (83) Common"
48708,be44,"83 TAC 17","D","Countywide Tac 17","Interop","Warren County (83) Common"
48709,be45,"83 TAC 18","D","Countywide Tac 18","Interop","Warren County (83) Common"
48710,be46,"83 TAC 19","D","Countywide Tac 19","Interop","Warren County (83) Common"
48711,be47,"83 TAC 20","D","Countywide Tac 20","Interop","Warren County (83) Common"
48712,be48,"83 TAC 21","D","Countywide Tac 21","Interop","Warren County (83) Common"
48718,be4e,"83 EMA 1","D","Emergency Management Agency 1","Emergency Ops","Warren County (83) Common"
48719,be4f,"83 EMA 2","D","Emergency Management Agency 2","Emergency Ops","Warren County (83) Common"
48720,be50,"83 EMA 3","D","Emergency Management Agency 3","Emergency Ops","Warren County (83) Common"
48721,be51,"83 ADULT PROB","D","Adult Probation","Law Talk","Warren County (83) Law"
48722,be52,"83 BODD","D","County Board of Developmental Disabilities","Transportation","Warren County (83) Local Government"
48725,be55,"83 CHSVCS","D","County Childrens Services","Multi-Talk","Warren County (83) Local Government"
48726,be56,"83 COMSS 1","D","County Commissioners 1","Multi-Talk","Warren County (83) Local Government"
48728,be58,"83 FACMAN","D","County Facilities Managment","Public Works","Warren County (83) Public Works"
48729,be59,"83 CORONER","D","Coroner","Law Talk","Warren County (83) Law"
48730,be5a,"83 DOG WDN 1","D","County Dog Warden 1","Public Works","Warren County (83) Public Works"
48731,be5b,"83 DOG WDN2","D","County Dog Warden 2","Public Works","Warren County (83) Public Works"
48732,be5c,"83 ENG 1","D","County Engineer 1","Public Works","Warren County (83) Public Works"
48733,be5d,"83 ENG 2","D","County Engineer 2","Public Works","Warren County (83) Public Works"
48734,be5e,"83 ENG 3","D","County Engineer 3","Public Works","Warren County (83) Public Works"
48735,be5f,"83 ENG 4","D","County Engineer 4","Public Works","Warren County (83) Public Works"
48736,be60,"83 ENG 5","D","County Engineer 5 Supervisors Only","Public Works","Warren County (83) Public Works"
48737,be61,"83 HD START","D","County Headstart","Multi-Talk","Warren County (83) Local Government"
48738,be62,"83 HEALTH","D","County Health Department","Multi-Talk","Warren County (83) Local Government"
48739,be63,"83 HUMAN SVCS","D","County Human Services","Multi-Talk","Warren County (83) Local Government"
48741,be65,"83 EVENTS","D","County Special Events","Multi-Talk","Warren County (83) Local Government"
48742,be66,"83 TRANSIT","D","County Transit","Transportation","Warren County (83) Public Works"
48743,be67,"83 WATER 1","D","County Water Department 1","Public Works","Warren County (83) Public Works"
48746,be6a,"83 WCSO-1","D","Sheriff 1","Law Tac","Warren County (83) Law"
48747,be6b,"83 WCSO-2","D","Sheriff 2","Law Tac","Warren County (83) Law"
48748,be6c,"83 WCSO-3","D","Sheriff 3 Court Services","Law Tac","Warren County (83) Law"
48749,be6d,"83 WCSO CID","D","Sheriff - Criminal Investigation Division ","Law Tac","Warren County (83) Law"
48750,be6e,"83 SLEB WCSO","D","Sheriff South Lebanon Contract Units","Law Tac","Warren County (83) Law"
48753,be71,"83 ROAD TAC","D","Road Department Tactical","Public Works","Warren County (83) Public Works"
48754,be72,"83 TRANS TAC","D","Transportation Tactical","Transportation","Warren County (83) Public Works"
48757,be75,"83 MH MASON","D","Mercy Health Mason ER","Hospital","Warren County (83) Fire/EMS/Hospital"
48758,be76,"83 KET ER","D","Kettering Health Network Emergency Center (Franklin)","EMS-Tac","Warren County (83) Fire/EMS/Hospital"
48759,be77,"83 ARROW SPR","D","TriHealth Bethesda Arrow Springs Medical Center","Hospital","Warren County (83) Fire/EMS/Hospital"
48761,be79,"WAY TWP ADMIN","D","Wayne Twp Administration","Multi-Talk","Warren County (83) Local Government"
48762,be7a,"83 91 FD OPS","D","Wayne Twp Fire Operations","Fire-Tac","Warren County (83) Fire/EMS/Hospital"
48763,be7b,"83 91 FD CMD","D","Wayne Twp Fire Command","Fire-Tac","Warren County (83) Fire/EMS/Hospital"
48764,be7c,"83 WAY TWP RD","D","Wayne Twp Road Department","Public Works","Warren County (83) Public Works"
48765,be7d,"83 91 FD ALERT","D","Wayne Twp. Fire Alert","Fire Dispatch","Warren County (83) Fire/EMS/Hospital"
48768,be80,"83 PF LINK","D","Police/Fire Link","Multi-Tac","Warren County (83) Law"
48769,be81,"83 WAY PD1","D","Waynesville Police 1","Law Tac","Warren County (83) Law"
48770,be82,"83 WAY PD2","D","Waynesville Police 2","Law Tac","Warren County (83) Law"
48771,be83,"83 WAY RD","D","Waynesville Water and Road","Public Works","Warren County (83) Public Works"
48775,be87,"83 FAC MGT 1","D","Facilities Management","Public Works","Warren County (83) Public Works"
48776,be88,"FAC CUSTODIAN","D","Facilities Custodian","Public Works","Warren County (83) Public Works"
48777,be89,"83 FAC GROUND","D","Facilities Grounds","Public Works","Warren County (83) Public Works"
48778,be8a,"83 FAC ELEC","D","Facilities Electric","Public Works","Warren County (83) Public Works"
48779,be8b,"83 FAC PLUM","D","Facilities Plumbing","Public Works","Warren County (83) Public Works"
48780,be8c,"83 FAC HVAC","D","Facilities HVAC","Public Works","Warren County (83) Public Works"
48781,be8d,"FAC CARPENTRY","D","Facilities Carpentry","Public Works","Warren County (83) Public Works"
48782,be8e,"83 FAC MGT 2","D","Facilities Management","Public Works","Warren County (83) Public Works"
48950,bf36,"MA TAC 1","D","Mutual Aid Tac 1 Warren County","Interop","Warren County (83) Common"
48951,bf37,"MA TAC 2","D","Mutual Aid Tac 2 Warren County","Interop","Warren County (83) Common"
48952,bf38,"MA TAC 3","D","Mutual Aid Tac 3 Greene County","Interop","Warren County (83) Common"
48953,bf39,"MA TAC 4","D","Mutual Aid Tac 4 Greene County","Interop","Warren County (83) Common"
48954,bf3a,"MA TAC 5","D","Mutual Aid Tac 5 Clinton County","Interop","Warren County (83) Common"
48955,bf3b,"MA TAC 6","D","Mutual Aid Tac 6 Clinton County","Interop","Warren County (83) Common"
48956,bf3c,"MA TAC 7","D","Mutual Aid Tac 7 Clermont County","Interop","Warren County (83) Common"
48957,bf3d,"MA TAC 8","D","Mutual Aid Tac 8 Clermont County","Interop","Warren County (83) Common"
48958,bf3e,"MA TAC 9","D","Mutual Aid Tac 9 Hamilton County","Interop","Warren County (83) Common"
48959,bf3f,"MA TAC 10","D","Mutual Aid Tac 10 Hamilton County","Interop","Warren County (83) Common"
48960,bf40,"MA TAC 11","D","Mutual Aid Tac 11 Butler County","Interop","Warren County (83) Common"
48961,bf41,"MA TAC 12","D","Mutual Aid Tac 12 Butler County","Interop","Warren County (83) Common"
48962,bf42,"MA TAC 13","D","Mutual Aid Tac 13 Montgomery County","Interop","Warren County (83) Common"
48963,bf43,"MA TAC 14","D","Mutual Aid Tac 14 Montgomery County","Interop","Warren County (83) Common"
48964,bf44,"MA TAC 15","D","Mutual Aid Tac 15","Interop","Warren County (83) Common"
48965,bf45,"MA TAC 16","D","Mutual Aid Tac 16","Interop","Warren County (83) Common"
48966,bf46,"MA TAC 17","D","Mutual Aid Tac 17","Interop","Warren County (83) Common"
48967,bf47,"MA TAC 18","D","Mutual Aid Tac 18","Interop","Warren County (83) Common"
48968,bf48,"MA TAC 19","D","Mutual Aid Tac 19","Interop","Warren County (83) Common"
48969,bf49,"MA TAC 20","D","Mutual Aid Tac 20","Interop","Warren County (83) Common"
48970,bf4a,"MA TAC 21","D","Mutual Aid Tac 21","Interop","Warren County (83) Common"
48971,bf4b,"MA TAC 22","D","Mutual Aid Tac 22","Interop","Warren County (83) Common"
48972,bf4c,"MA TAC 23","D","Mutual Aid Tac 23","Interop","Warren County (83) Common"
48973,bf4d,"MA TAC 24","D","Mutual Aid Tac 24","Interop","Warren County (83) Common"
48974,bf4e,"MA TAC 25","D","Mutual Aid Tac 25","Interop","Warren County (83) Common"
48975,bf4f,"MA TAC 26","D","Mutual Aid Tac 26","Interop","Warren County (83) Common"
48976,bf50,"MA TAC 27","D","Mutual Aid Tac 27","Interop","Warren County (83) Common"
48977,bf51,"MA TAC 28","D","Mutual Aid Tac 28","Interop","Warren County (83) Common"
48978,bf52,"MA MAYDAY 1","D","Mutual Aid MAYDAY 1","Interop","Warren County (83) Common"
48979,bf53,"MA MAYDAY 2","D","Mutual Aid MAYDAY 2","Interop","Warren County (83) Common"
48980,bf54,"MA MAYDAY 3","D","Mutual Aid MAYDAY 3","Interop","Warren County (83) Common"
48981,bf55,"MA MAYDAY 4","D","Mutual Aid MAYDAY 4","Interop","Warren County (83) Common"
48982,bf56,"RG PW TAC","D","Regional Road/Public Works Tac","Interop","Warren County (83) Common"
48983,bf57,"RG TRANS TAC","D","Regional Transportation Tac","Interop","Warren County (83) Common"
48984,bf58,"RG EVENT TAC","D","Regional Non-Emergency Special Events Tac","Interop","Warren County (83) Common"
48985,bf59,"SOSINK","D","Southwestern Ohio, Southeastern Indiana, Northern Kentucky Regional Communications","Interop","Warren County (83) Common"
48991,bf5f,"83 JAIL BACKUP","D","County Jail Backup","Corrections","Warren County (83) Law"
48996,bf64,"83 AUXCOMM","D","AuxComm","Emergency Ops","Warren County (83) Common"
49000,bf68,"CO84ENG","D","County Engineer","Public Works","Washington County (84)"
49004,bf6c,"WASCO SCH","D","Wasco School - Washington County Board of Developmental Disabilities ","Schools","Washington County (84)"
49005,bf6d,"MARIETTA FD","D","Marietta Fire Dispatch","Fire Dispatch","Washington County (84)"
49007,bf6f,"SO84TALK","D","Sheriff - Jail transports","Law Talk","Washington County (84)"
49011,bf73,"MARIETTA PD","DE","Marietta Police Dispatch","Law Dispatch","Washington County (84)"
49012,bf74,"SC84MARI","D","Marietta City Schools - Buses","Schools","Washington County (84)"
49013,bf75,"SC84EMER","D","Countywide School Emergency","Emergency Ops","Washington County (84)"
49017,bf79,"FD84BEEB","D","Beebe area fire operations","Fire-Tac","Washington County (84)"
49020,bf7c,"FD84BELM","D","Belmont area fire operations","Fire-Tac","Washington County (84)"
49500,c15c,"85 TAC 5","D","Countywide Tac 5","Interop","Wayne County (85)"
49501,c15d,"WOO CS EMR","D","Wooster City Schools Emergency","Emergency Ops","Wayne County (85)"
49502,c15e,"85 TAC 1","D","Countywide Tac 1","Interop","Wayne County (85)"
49504,c160,"WOO FD ALERT","D","Wooster FD Alerting","Fire Dispatch","Wayne County (85)"
49505,c161,"85 TAC 2","D","Countywide Tac 2","Interop","Wayne County (85)"
49507,c163,"WOO FD STAC2","DE","Wooster FD Secure Tac 2","Fire-Tac","Wayne County (85)"
49508,c164,"85 TAC 3","D","Countywide Tac 3","Interop","Wayne County (85)"
49509,c165,"MEDWAY","DE","MEDWAY Drug Task Force","Law Tac","Wayne County (85)"
49510,c166,"85 TAC 4","D","Countywide Tac 4","Interop","Wayne County (85)"
49511,c167,"WOO FD STAC3","DE","Wooster FD Secure Tac 3","Fire-Tac","Wayne County (85)"
49512,c168,"SC85EMER","D","Countywide School Emergency","Emergency Ops","Wayne County (85)"
49513,c169,"WOO FD PAGE 1","D","Wooster Fire Paging 1","Fire Dispatch","Wayne County (85)"
49514,c16a,"WOO-ORRVL FD","D","Wooster/Orrville FD Dispatch","Fire Dispatch","Wayne County (85)"
49516,c16c,"85FDDISP","D","County Fire Dispatch","Fire Dispatch","Wayne County (85)"
49517,c16d,"WOO FD PAGE 2","D","Wooster Fire Paging 2","Fire Dispatch","Wayne County (85)"
49518,c16e,"WOO-ORRVL PD","D","Wooster/Orrville PD","Law Dispatch","Wayne County (85)"
49520,c170,"SO85DISP","D","Sheriff/Rittman/Doylestown/village PD Dispatch","Law Dispatch","Wayne County (85)"
49521,c171,"WOO FD CHIEF OC","D","Wooster Fire - Chief on Call Paging","Fire Dispatch","Wayne County (85)"
49522,c172,"85 FD ALERT","D","County/Rittman FD Alert","Fire Dispatch","Wayne County (85)"
49524,c174,"WOO FD OD ALERT","D","Wooster FD Off Duty Alerting","Fire Dispatch","Wayne County (85)"
49525,c175,"KIDRON FD ALERT","D","Kidron FD Alert","Fire Dispatch","Wayne County (85)"
49526,c176,"ORRVL FD ALERT","D","Orrville FD Alert","Fire Dispatch","Wayne County (85)"
49527,c177,"COLWOOSTER SEC","D","College of Wooster Security","Security","Wayne County (85)"
49539,c183,"NORWAYNE LSD","D","Norwayne Local Schools","Schools","Wayne County (85)"
50002,c352,"86 EMS PAGING","D","EMS Paging","EMS Dispatch","Williams County (86)"
50014,c35e,"86SO DISP","D","Sheriff Dispatch","Law Dispatch","Williams County (86)"
50039,c377,"86FD 2","D","Fire Dispatch 2","Fire-Tac","Williams County (86)"
50098,c3b2,"BRYAN PD TAC","D","Bryan PD TAC","Law Tac","Williams County (86)"
50120,c3c8,"86 EMS","D","EMS","EMS-Tac","Williams County (86)"
50177,c401,"MONTPEL PD TAC","D","Montpelier Police TAC","Law Tac","Williams County (86)"
50297,c479,"86FD 1","D","Fire Dispatch 1","Fire Dispatch","Williams County (86)"
50334,c49e,"86SO TAC","D","Sheriff TAC","Law Tac","Williams County (86)"
50466,c522,"BRYAN PD DISP","D","Bryan Police Dispatch","Law Dispatch","Williams County (86)"
50501,c545,"87FDEMS","D","County Fire/EMS Dispatch","Fire Dispatch","Wood County (87)"
50503,c547,"87FDOPS2","D","Fire Operations 2","Fire-Tac","Wood County (87)"
50505,c549,"87FDOPS3","D","Fire Operations 3","Fire-Tac","Wood County (87)"
50507,c54b,"87FDOPS4","D","Fire Operations 4","Fire-Tac","Wood County (87)"
50509,c54d,"87EVENTS","D","Events","Fire-Talk","Wood County (87)"
50511,c54f,"BGFDOPS","D","Bowling Green Fire Operations","Fire-Tac","Wood County (87)"
50514,c552,"WODFDPG1","D","Fire Paging","Fire Dispatch","Wood County (87)"
50520,c558,"87TAC-1","D","Tactical 1","Multi-Tac","Wood County (87)"
50522,c55a,"BGPDDISP","D","Bowling Green Police Dispatch","Law Dispatch","Wood County (87)"
50524,c55c,"BGSU PD DISP","D","Bowling Green State University Police Dispatch","Law Dispatch","Wood County (87)"
50526,c55e,"BGSU PD EVT","D","Bowling Green State University Police - Events","Law Talk","Wood County (87)"
51001,c739,"SO88DSP","D","Sheriff Dispatch","Law Dispatch","Wyandot County (88)"
51002,c73a,"88OPS1","D","Operations 1","Multi-Tac","Wyandot County (88)"
51003,c73b,"88OPS2","D","Operations 2","Multi-Tac","Wyandot County (88)"
51004,c73c,"88OPS3","D","Operations 3","Multi-Tac","Wyandot County (88)"
51005,c73d,"88USPD","D","Upper Sandusky Police Dispatch","Law Dispatch","Wyandot County (88)"
51006,c73e,"88CPD","D","Carey Police Dispatch","Law Dispatch","Wyandot County (88)"
51007,c73f,"EMS88DSP","D","EMS Dispatch","EMS Dispatch","Wyandot County (88)"
51008,c740,"FD88DSP","D","Fire Dispatch","Fire Dispatch","Wyandot County (88)"
51009,c741,"88OPS4","D","Operations 4","Multi-Tac","Wyandot County (88)"
51011,c743,"88CEMS","D","Carey EMS Dispatch","EMS Dispatch","Wyandot County (88)"
51500,c92c,"OSPFLEET","D","Fleet Services","Public Works","OSP Special / Tac"
51502,c92e,"POST02","D","Post 2 (Lima) Dispatch","Law Dispatch","OSP District 1"
51503,c92f,"POST03","D","Post 3 (Ashland) Dispatch","Law Dispatch","OSP District 3"
51504,c930,"POST04","D","Post 4 (Ashtabula) Dispatch","Law Dispatch","OSP District 4"
51506,c932,"POST06","D","Post 6 (Wapakoneta) Dispatch","Law Dispatch","OSP District 5"
51508,c934,"GEORGETWN","D","Post 8 (Georgetown) Dispatch","Law Dispatch","OSP District 8"
51509,c935,"HAMILTON","D","Post 9 (Hamilton) Dispatch","Law Dispatch","OSP District 8"
51513,c939,"POST13","D","Post 13 (Batavia)","Law Dispatch","OSP District 8"
51514,c93a,"WLMNGTN","D","Post 14 (Wilmington) Dispatch","Law Dispatch","OSP District 8"
51517,c93d,"BUCYRUS","D","Post 17 (Bucyrus) District 2 HQ  / post patrol","Law Dispatch","OSP District 2"
51518,c93e,"POST18","D","Post 18 (Cleveland) District 3 HQ  / post patrol","Law Dispatch","OSP District 3"
51520,c940,"POST20","D","Post 20 (Defiance) Dispatch","Law Dispatch","OSP District 1"
51525,c945,"COLUMBUS","D","Columbus Comm Center","Law Dispatch","OSP District 6"
51527,c947,"POST27","D","Post 27 (Gallipolis) Dispatch","Law Dispatch","OSP District 9"
51528,c948,"POST28","D","Post 28 (Chardon) Dispatch","Law Dispatch","OSP District 4"
51530,c94a,"CAMBRGE","D","Post 30 (Cambridge) District HQ / post patrol ","Law Dispatch","OSP District 7"
51531,c94b,"CINCINNATI","D","Post 31 (Cincinnati) Dispatch","Law Dispatch","OSP District 8"
51532,c94c,"FINDLAY","D","Post 32 (Findlay) District 1 HQ  / post patrol","Law Dispatch","OSP District 1"
51539,c953,"POST39","D","Post 39 (Norwalk) Dispatch","Law Dispatch","OSP District 2"
51540,c954,"JACKSON","D","Post 40 (Jackson) District 9 HQ / post patrol ","Law Dispatch","OSP District 9"
51541,c955,"POST41","De","Post 41 (Steubenville) Dispatch","Law Dispatch","OSP District 7"
51544,c958,"POST44","D","Post 44 (Ironton) Dispatch","Law Dispatch","OSP District 9"
51545,c959,"POST45","D","Post 45 (Granville) Dispatch","Law Dispatch","OSP District 6"
51547,c95b,"POST47","D","Post 47 (Lorain) Dispatch","Law Dispatch","OSP District 3"
51548,c95c,"POST48","D","Post 48 (Toledo) Dispatch","Law Dispatch","OSP District 1"
